patron,valor_certificado,tipo,color,codigo,origen,K,sesiones,x,sigma_x,x_fabrica_invertida,x_esperada,banda_x,R_fabrica,error_fabrica_pct,R_acta,error_acta_pct,R_propuesta,error_propuesta_pct
P52,421,IV,blanco,1,estimacion,,,,,1470.3,1952.5,181.2,577,,420,,420,
P53,279,XI,rojo,4,estimacion,,,,,2031.9,2127.0,289.0,298,,298,,298,
P54,121,IV,rojo,4,estimacion,,,,,802.5,1242.6,130.6,201,,201,,201,
P55,146,XI,rojo,4,estimacion,,,,,896.9,1382.6,155.5,213,,213,,213,
P56,347,IV,blanco,1,estimacion,,,,,1276.5,1704.9,151.0,501,,346,,346,
P57,218,IV,rojo,4,estimacion,,,,,1438.2,1785.6,227.6,244,,244,,244,
P58,432,IV,blanco,1,estimacion,,,,,1500.6,1989.3,185.6,587,,431,,431,
P59,122,IV,rojo,4,estimacion,,,,,805.9,1248.2,131.6,202,,202,,202,
P60,68,IV,rojo,4,estimacion,,,,,648.9,946.0,78.6,157,,157,,157,
P61,207,IV,amarillo,2,estimacion,,,,,1007.3,1122.3,82.3,261,,203,,203,
P62,280,IV,amarillo,2,estimacion,,,,,1159.7,1318.7,106.3,357,,275,,275,
P63,121,IV,verde,3,estimacion,,,,,779.3,764.7,35.6,116,,116,,116,
P64,54,IV,verde,3,estimacion,,,,,611.2,654.3,29.3,73,,73,,73,
P65,51,IV,verde,3,estimacion,,,,,604.8,649.4,29.0,71,,71,,71,
P66,89,IV,azul,5,estimacion,,,,,1182.2,835.7,41.4,38,,38,,38,
P67,95,IV,azul,5,estimacion,,,,,1217.4,853.9,42.7,41,,41,,41,
P68,36,IV,cafe,4,estimacion,,,,,574.4,766.9,48.8,110,,110,,110,
P69,139,IV,lila,4,estimacion,,,,,868.4,1343.4,148.5,210,,210,,210,
P70,80,IV,naranja,6,estimacion,,,,,1049.2,1049.2,424.8,79,,79,,79,
P71,84,IV,naranja,6,estimacion,,,,,1069.9,1069.9,442.9,84,,84,,84,
P72,93,IV,naranja,6,estimacion,,,,,1115.1,1115.1,482.3,92,,92,,92,
