# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
DISPARO,S004,9,"2026-09-19T14:18:17-0500","::3319",3319,3
DISPARO,S004,10,"2026-09-19T14:18:18-0500","::3309",3309,3
DISPARO,S004,11,"2026-09-19T14:18:20-0500","::3318",3318,3
DISPARO,S004,12,"2026-09-19T14:18:22-0500","::3323",3323,3
DISPARO,S004,13,"2026-09-19T14:18:30-0500","::3317",3317,4
DISPARO,S004,14,"2026-09-19T14:18:32-0500","::3317",3317,4
DISPARO,S004,15,"2026-09-19T14:18:33-0500","::3323",3323,4
DISPARO,S004,16,"2026-09-19T14:18:35-0500","::3332",3332,4
DISPARO,S004,17,"2026-09-19T14:18:42-0500","::3299",3299,5
DISPARO,S004,18,"2026-09-19T14:18:44-0500","::3304",3304,5
DISPARO,S004,19,"2026-09-19T14:18:46-0500","::3312",3312,5
DISPARO,S004,20,"2026-09-19T14:18:47-0500","::3294",3294,5
VEREDICTO,S004,A5,0,banco paso 6 (A5-INICIO)
PASO,6,HECHO,S004,"2026-09-19T14:18:47-0500",A5
SERIE,S005,"2026-09-19T14:19:44-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P56,0,e
DISPARO,S005,1,"2026-09-19T14:19:44-0500","::1648",1648,1
DISPARO,S005,2,"2026-09-19T14:19:45-0500","::1652",1652,1
DISPARO,S005,3,"2026-09-19T14:19:47-0500","::1659",1659,1
DISPARO,S005,4,"2026-09-19T14:19:49-0500","::1660",1660,1
DISPARO,S005,5,"2026-09-19T14:19:58-0500","::1642",1642,2
DISPARO,S005,6,"2026-09-19T14:20:00-0500","::1652",1652,2
DISPARO,S005,7,"2026-09-19T14:20:01-0500","::1645",1645,2
DISPARO,S005,8,"2026-09-19T14:20:03-0500","::1656",1656,2
DISPARO,S005,9,"2026-09-19T14:20:21-0500","::1655",1655,3
DISPARO,S005,10,"2026-09-19T14:20:22-0500","::1660",1660,3
DISPARO,S005,11,"2026-09-19T14:20:24-0500","::1653",1653,3
DISPARO,S005,12,"2026-09-19T14:20:25-0500","::1658",1658,3
VEREDICTO,S005,OK,1,"banco paso 7, código 1, uso AJUSTE"
ELIGE,S005
PASO,7,HECHO,S005,"2026-09-19T14:20:25-0500",OK
SERIE,S006,"2026-09-19T14:20:52-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P34,0,e
DISPARO,S006,1,"2026-09-19T14:20:55-0500","::1664",1664,1
DISPARO,S006,2,"2026-09-19T14:20:57-0500","::1661",1661,1
DISPARO,S006,3,"2026-09-19T14:20:58-0500","::1657",1657,1
DISPARO,S006,4,"2026-09-19T14:23:24-0500","::953",953,2
DISPARO,S006,5,"2026-09-19T14:23:26-0500","::952",952,2
DISPARO,S006,6,"2026-09-19T14:23:27-0500","::957",957,2
DISPARO,S006,7,"2026-09-19T14:23:34-0500","::952",952,3
DISPARO,S006,8,"2026-09-19T14:23:36-0500","::952",952,3
DISPARO,S006,9,"2026-09-19T14:23:37-0500","::953",953,3
VEREDICTO,S006,REPETIR,0,repetida
SERIE,S007,"2026-09-19T14:23:47-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P34,0,e
DISPARO,S007,1,"2026-09-19T14:23:50-0500","::947",947,1
DISPARO,S007,2,"2026-09-19T14:23:52-0500","::948",948,1
DISPARO,S007,3,"2026-09-19T14:23:54-0500","::951",951,1
DISPARO,S007,4,"2026-09-19T14:24:02-0500","::971",971,2
DISPARO,S007,5,"2026-09-19T14:24:04-0500","::976",976,2
DISPARO,S007,6,"2026-09-19T14:24:06-0500","::981",981,2
DISPARO,S007,7,"2026-09-19T14:24:13-0500","::940",940,3
DISPARO,S007,8,"2026-09-19T14:24:14-0500","::941",941,3
DISPARO,S007,9,"2026-09-19T14:24:16-0500","::956",956,3
VEREDICTO,S007,OK,1,
SERIE,S008,"2026-09-19T14:25:54-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P37,0,e
DISPARO,S008,1,"2026-09-19T14:25:57-0500","::976",976,1
DISPARO,S008,2,"2026-09-19T14:25:58-0500","::978",978,1
DISPARO,S008,3,"2026-09-19T14:26:00-0500","::991",991,1
DISPARO,S008,4,"2026-09-19T14:26:09-0500","::946",946,2
DISPARO,S008,5,"2026-09-19T14:26:10-0500","::955",955,2
DISPARO,S008,6,"2026-09-19T14:26:12-0500","::957",957,2
DISPARO,S008,7,"2026-09-19T14:26:21-0500","::976",976,3
DISPARO,S008,8,"2026-09-19T14:26:23-0500","::992",992,3
DISPARO,S008,9,"2026-09-19T14:26:25-0500","::972",972,3
VEREDICTO,S008,OK,1,
SERIE,S009,"2026-09-19T14:27:04-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P38,0,e
DISPARO,S009,1,"2026-09-19T14:27:07-0500","::737",737,1
DISPARO,S009,2,"2026-09-19T14:27:08-0500","::744",744,1
DISPARO,S009,3,"2026-09-19T14:27:10-0500","::747",747,1
DISPARO,S009,4,"2026-09-19T14:27:17-0500","::745",745,2
DISPARO,S009,5,"2026-09-19T14:27:19-0500","::744",744,2
DISPARO,S009,6,"2026-09-19T14:27:21-0500","::744",744,2
DISPARO,S009,7,"2026-09-19T14:27:27-0500","::742",742,3
DISPARO,S009,8,"2026-09-19T14:27:29-0500","::738",738,3
DISPARO,S009,9,"2026-09-19T14:27:31-0500","::751",751,3
VEREDICTO,S009,OK,1,
SERIE,S010,"2026-09-19T14:27:52-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P39,0,e
DISPARO,S010,1,"2026-09-19T14:27:54-0500","::722",722,1
DISPARO,S010,2,"2026-09-19T14:27:56-0500","::715",715,1
DISPARO,S010,3,"2026-09-19T14:27:58-0500","::709",709,1
DISPARO,S010,4,"2026-09-19T14:28:05-0500","::718",718,2
DISPARO,S010,5,"2026-09-19T14:28:06-0500","::715",715,2
DISPARO,S010,6,"2026-09-19T14:28:08-0500","::714",714,2
DISPARO,S010,7,"2026-09-19T14:28:15-0500","::721",721,3
DISPARO,S010,8,"2026-09-19T14:28:17-0500","::716",716,3
DISPARO,S010,9,"2026-09-19T14:28:18-0500","::721",721,3
VEREDICTO,S010,OK,1,
SERIE,S011,"2026-09-19T14:29:16-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P43,0,e
DISPARO,S011,1,"2026-09-19T14:29:19-0500","::1136",1136,1
DISPARO,S011,2,"2026-09-19T14:29:20-0500","::1139",1139,1
DISPARO,S011,3,"2026-09-19T14:29:22-0500","::1155",1155,1
DISPARO,S011,4,"2026-09-19T14:29:29-0500","::1154",1154,2
DISPARO,S011,5,"2026-09-19T14:29:31-0500","::1146",1146,2
DISPARO,S011,6,"2026-09-19T14:29:32-0500","::1147",1147,2
DISPARO,S011,7,"2026-09-19T14:29:41-0500","::1143",1143,3
DISPARO,S011,8,"2026-09-19T14:29:43-0500","::1144",1144,3
DISPARO,S011,9,"2026-09-19T14:29:45-0500","::1141",1141,3
VEREDICTO,S011,OK,1,
SERIE,S012,"2026-09-19T14:30:06-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P44,0,e
DISPARO,S012,1,"2026-09-19T14:30:09-0500","::888",888,1
DISPARO,S012,2,"2026-09-19T14:30:11-0500","::893",893,1
DISPARO,S012,3,"2026-09-19T14:30:12-0500","::902",902,1
DISPARO,S012,4,"2026-09-19T14:30:20-0500","::884",884,2
DISPARO,S012,5,"2026-09-19T14:30:21-0500","::879",879,2
DISPARO,S012,6,"2026-09-19T14:30:23-0500","::880",880,2
DISPARO,S012,7,"2026-09-19T14:30:30-0500","::906",906,3
DISPARO,S012,8,"2026-09-19T14:30:32-0500","::894",894,3
DISPARO,S012,9,"2026-09-19T14:30:33-0500","::889",889,3
VEREDICTO,S012,OK,1,
SERIE,S013,"2026-09-19T14:31:02-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P49,0,e
DISPARO,S013,1,"2026-09-19T14:31:05-0500","::802",802,1
DISPARO,S013,2,"2026-09-19T14:31:06-0500","::815",815,1
DISPARO,S013,3,"2026-09-19T14:31:08-0500","::814",814,1
DISPARO,S013,4,"2026-09-19T14:31:15-0500","::807",807,2
