# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
VEREDICTO,S027,DUDOSO,1,Ok
SERIE,S028,"2026-09-19T14:45:16-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,OSCURO,0,e
DISPARO,S028,1,"2026-09-19T14:45:19-0500","::568",568,1
DISPARO,S028,2,"2026-09-19T14:45:21-0500","::566",566,1
DISPARO,S028,3,"2026-09-19T14:45:22-0500","::561",561,1
DISPARO,S028,4,"2026-09-19T14:45:24-0500","::572",572,1
DISPARO,S028,5,"2026-09-19T14:45:26-0500","::567",567,1
DISPARO,S028,6,"2026-09-19T14:45:27-0500","::580",580,1
DISPARO,S028,7,"2026-09-19T14:45:29-0500","::571",571,1
DISPARO,S028,8,"2026-09-19T14:45:30-0500","::572",572,1
DISPARO,S028,9,"2026-09-19T14:45:32-0500","::562",562,1
DISPARO,S028,10,"2026-09-19T14:45:38-0500","::574",574,2
DISPARO,S028,11,"2026-09-19T14:45:39-0500","::578",578,2
DISPARO,S028,12,"2026-09-19T14:45:41-0500","::571",571,2
DISPARO,S028,13,"2026-09-19T14:45:42-0500","::565",565,2
DISPARO,S028,14,"2026-09-19T14:45:44-0500","::575",575,2
DISPARO,S028,15,"2026-09-19T14:45:46-0500","::567",567,2
DISPARO,S028,16,"2026-09-19T14:45:47-0500","::571",571,2
DISPARO,S028,17,"2026-09-19T14:45:49-0500","::566",566,2
DISPARO,S028,18,"2026-09-19T14:45:50-0500","::568",568,2
DISPARO,S028,19,"2026-09-19T14:45:58-0500","::565",565,3
DISPARO,S028,20,"2026-09-19T14:46:00-0500","::570",570,3
DISPARO,S028,21,"2026-09-19T14:46:01-0500","::566",566,3
DISPARO,S028,22,"2026-09-19T14:46:03-0500","::575",575,3
DISPARO,S028,23,"2026-09-19T14:46:05-0500","::568",568,3
DISPARO,S028,24,"2026-09-19T14:46:06-0500","::569",569,3
DISPARO,S028,25,"2026-09-19T14:46:08-0500","::575",575,3
DISPARO,S028,26,"2026-09-19T14:46:09-0500","::578",578,3
DISPARO,S028,27,"2026-09-19T14:46:11-0500","::573",573,3
DISPARO,S028,28,"2026-09-19T14:46:21-0500","::574",574,4
DISPARO,S028,29,"2026-09-19T14:46:23-0500","::577",577,4
DISPARO,S028,30,"2026-09-19T14:46:24-0500","::565",565,4
DISPARO,S028,31,"2026-09-19T14:46:26-0500","::563",563,4
DISPARO,S028,32,"2026-09-19T14:46:28-0500","::563",563,4
DISPARO,S028,33,"2026-09-19T14:46:29-0500","::564",564,4
DISPARO,S028,34,"2026-09-19T14:46:31-0500","::564",564,4
DISPARO,S028,35,"2026-09-19T14:46:33-0500","::564",564,4
DISPARO,S028,36,"2026-09-19T14:46:34-0500","::573",573,4
DISPARO,S028,37,"2026-09-19T14:46:46-0500","::563",563,5
DISPARO,S028,38,"2026-09-19T14:46:48-0500","::564",564,5
DISPARO,S028,39,"2026-09-19T14:46:49-0500","::578",578,5
DISPARO,S028,40,"2026-09-19T14:46:51-0500","::568",568,5
DISPARO,S028,41,"2026-09-19T14:46:53-0500","::567",567,5
DISPARO,S028,42,"2026-09-19T14:46:54-0500","::573",573,5
DISPARO,S028,43,"2026-09-19T14:46:56-0500","::567",567,5
DISPARO,S028,44,"2026-09-19T14:46:57-0500","::571",571,5
DISPARO,S028,45,"2026-09-19T14:46:59-0500","::576",576,5
VEREDICTO,S028,OK,1,
SERIE,S029,"2026-09-19T14:47:33-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P48,0,e
DISPARO,S029,1,"2026-09-19T14:47:36-0500","::612",612,1
DISPARO,S029,2,"2026-09-19T14:47:38-0500","::617",617,1
DISPARO,S029,3,"2026-09-19T14:47:39-0500","::618",618,1
DISPARO,S029,4,"2026-09-19T14:47:41-0500","::620",620,1
DISPARO,S029,5,"2026-09-19T14:47:43-0500","::624",624,1
DISPARO,S029,6,"2026-09-19T14:47:44-0500","::621",621,1
DISPARO,S029,7,"2026-09-19T14:47:46-0500","::617",617,1
DISPARO,S029,8,"2026-09-19T14:47:47-0500","::623",623,1
DISPARO,S029,9,"2026-09-19T14:47:49-0500","::616",616,1
DISPARO,S029,10,"2026-09-19T14:47:54-0500","::617",617,2
DISPARO,S029,11,"2026-09-19T14:47:56-0500","::616",616,2
DISPARO,S029,12,"2026-09-19T14:47:58-0500","::618",618,2
DISPARO,S029,13,"2026-09-19T14:47:59-0500","::622",622,2
DISPARO,S029,14,"2026-09-19T14:48:01-0500","::622",622,2
DISPARO,S029,15,"2026-09-19T14:48:02-0500","::620",620,2
DISPARO,S029,16,"2026-09-19T14:48:04-0500","::620",620,2
DISPARO,S029,17,"2026-09-19T14:48:06-0500","::618",618,2
DISPARO,S029,18,"2026-09-19T14:48:07-0500","::613",613,2
DISPARO,S029,19,"2026-09-19T14:48:12-0500","::608",608,3
DISPARO,S029,20,"2026-09-19T14:48:13-0500","::614",614,3
DISPARO,S029,21,"2026-09-19T14:48:15-0500","::631",631,3
DISPARO,S029,22,"2026-09-19T14:48:17-0500","::618",618,3
DISPARO,S029,23,"2026-09-19T14:48:18-0500","::624",624,3
DISPARO,S029,24,"2026-09-19T14:48:20-0500","::610",610,3
DISPARO,S029,25,"2026-09-19T14:48:22-0500","::619",619,3
DISPARO,S029,26,"2026-09-19T14:48:23-0500","::621",621,3
DISPARO,S029,27,"2026-09-19T14:48:25-0500","::629",629,3
DISPARO,S029,28,"2026-09-19T14:48:30-0500","::623",623,4
DISPARO,S029,29,"2026-09-19T14:48:32-0500","::616",616,4
DISPARO,S029,30,"2026-09-19T14:48:33-0500","::614",614,4
DISPARO,S029,31,"2026-09-19T14:48:35-0500","::613",613,4
DISPARO,S029,32,"2026-09-19T14:48:37-0500","::613",613,4
DISPARO,S029,33,"2026-09-19T14:48:38-0500","::616",616,4
DISPARO,S029,34,"2026-09-19T14:48:40-0500","::622",622,4
DISPARO,S029,35,"2026-09-19T14:48:41-0500","::625",625,4
DISPARO,S029,36,"2026-09-19T14:48:43-0500","::622",622,4
DISPARO,S029,37,"2026-09-19T14:48:48-0500","::618",618,5
DISPARO,S029,38,"2026-09-19T14:48:50-0500","::624",624,5
DISPARO,S029,39,"2026-09-19T14:48:51-0500","::615",615,5
DISPARO,S029,40,"2026-09-19T14:48:53-0500","::612",612,5
DISPARO,S029,41,"2026-09-19T14:48:55-0500","::613",613,5
DISPARO,S029,42,"2026-09-19T14:48:56-0500","::618",618,5
DISPARO,S029,43,"2026-09-19T14:48:58-0500","::623",623,5
DISPARO,S029,44,"2026-09-19T14:48:59-0500","::619",619,5
DISPARO,S029,45,"2026-09-19T14:49:01-0500","::617",617,5
VEREDICTO,S029,DUDOSO,1,Ok
SERIE,S030,"2026-09-19T14:49:31-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P50,0,e
DISPARO,S030,1,"2026-09-19T14:49:34-0500","::894",894,1
DISPARO,S030,2,"2026-09-19T14:49:36-0500","::890",890,1
DISPARO,S030,3,"2026-09-19T14:49:37-0500","::903",903,1
DISPARO,S030,4,"2026-09-19T14:49:39-0500","::903",903,1
DISPARO,S030,5,"2026-09-19T14:49:41-0500","::891",891,1
DISPARO,S030,6,"2026-09-19T14:49:42-0500","::896",896,1
DISPARO,S030,7,"2026-09-19T14:49:44-0500","::897",897,1
DISPARO,S030,8,"2026-09-19T14:49:45-0500","::895",895,1
DISPARO,S030,9,"2026-09-19T14:49:47-0500","::898",898,1
DISPARO,S030,10,"2026-09-19T14:49:52-0500","::902",902,2
DISPARO,S030,11,"2026-09-19T14:49:54-0500","::899",899,2
DISPARO,S030,12,"2026-09-19T14:49:55-0500","::895",895,2
DISPARO,S030,13,"2026-09-19T14:49:57-0500","::894",894,2
DISPARO,S030,14,"2026-09-19T14:49:59-0500","::902",902,2
DISPARO,S030,15,"2026-09-19T14:50:00-0500","::907",907,2
DISPARO,S030,16,"2026-09-19T14:50:02-0500","::896",896,2
DISPARO,S030,17,"2026-09-19T14:50:03-0500","::903",903,2
DISPARO,S030,18,"2026-09-19T14:50:05-0500","::905",905,2
DISPARO,S030,19,"2026-09-19T14:50:11-0500","::899",899,3
DISPARO,S030,20,"2026-09-19T14:50:13-0500","::903",903,3
DISPARO,S030,21,"2026-09-19T14:50:14-0500","::906",906,3
DISPARO,S030,22,"2026-09-19T14:50:16-0500","::889",889,3
DISPARO,S030,23,"2026-09-19T14:50:17-0500","::907",907,3
DISPARO,S030,24,"2026-09-19T14:50:19-0500","::902",902,3
DISPARO,S030,25,"2026-09-19T14:50:21-0500","::899",899,3
DISPARO,S030,26,"2026-09-19T14:50:22-0500","::907",907,3
DISPARO,S030,27,"2026-09-19T14:50:24-0500","::894",894,3
DISPARO,S030,28,"2026-09-19T14:50:30-0500","::897",897,4
DISPARO,S030,29,"2026-09-19T14:50:32-0500","::899",899,4
DISPARO,S030,30,"2026-09-19T14:50:33-0500","::894",894,4
DISPARO,S030,31,"2026-09-19T14:50:35-0500","::907",907,4
DISPARO,S030,32,"2026-09-19T14:50:36-0500","::906",906,4
DISPARO,S030,33,"2026-09-19T14:50:38-0500","::897",897,4
DISPARO,S030,34,"2026-09-19T14:50:40-0500","::897",897,4
DISPARO,S030,35,"2026-09-19T14:50:41-0500","::898",898,4
DISPARO,S030,36,"2026-09-19T14:50:43-0500","::902",902,4
DISPARO,S030,37,"2026-09-19T14:50:55-0500","::893",893,5
DISPARO,S030,38,"2026-09-19T14:50:57-0500","::910",910,5
DISPARO,S030,39,"2026-09-19T14:50:59-0500","::899",899,5
DISPARO,S030,40,"2026-09-19T14:51:00-0500","::902",902,5
DISPARO,S030,41,"2026-09-19T14:51:02-0500","::901",901,5
DISPARO,S030,42,"2026-09-19T14:51:03-0500","::899",899,5
DISPARO,S030,43,"2026-09-19T14:51:05-0500","::895",895,5
DISPARO,S030,44,"2026-09-19T14:51:07-0500","::900",900,5
DISPARO,S030,45,"2026-09-19T14:51:08-0500","::907",907,5
VEREDICTO,S030,DUDOSO,0,repetida
SERIE,S031,"2026-09-19T14:51:18-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P50,0,e
DISPARO,S031,1,"2026-09-19T14:51:21-0500","::908",908,1
DISPARO,S031,2,"2026-09-19T14:51:22-0500","::897",897,1
DISPARO,S031,3,"2026-09-19T14:51:24-0500","::907",907,1
DISPARO,S031,4,"2026-09-19T14:51:26-0500","::902",902,1
DISPARO,S031,5,"2026-09-19T14:51:27-0500","::904",904,1
DISPARO,S031,6,"2026-09-19T14:51:29-0500","::902",902,1
DISPARO,S031,7,"2026-09-19T14:51:30-0500","::899",899,1
DISPARO,S031,8,"2026-09-19T14:51:32-0500","::901",901,1
DISPARO,S031,9,"2026-09-19T14:51:34-0500","::911",911,1
DISPARO,S031,10,"2026-09-19T14:51:39-0500","::908",908,2
DISPARO,S031,11,"2026-09-19T14:51:40-0500","::921",921,2
DISPARO,S031,12,"2026-09-19T14:51:42-0500","::917",917,2
DISPARO,S031,13,"2026-09-19T14:51:44-0500","::900",900,2
DISPARO,S031,14,"2026-09-19T14:51:45-0500","::924",924,2
DISPARO,S031,15,"2026-09-19T14:51:47-0500","::915",915,2
DISPARO,S031,16,"2026-09-19T14:51:48-0500","::908",908,2
DISPARO,S031,17,"2026-09-19T14:51:50-0500","::903",903,2
DISPARO,S031,18,"2026-09-19T14:51:52-0500","::922",922,2
DISPARO,S031,19,"2026-09-19T14:51:57-0500","::900",900,3
DISPARO,S031,20,"2026-09-19T14:51:58-0500","::909",909,3
DISPARO,S031,21,"2026-09-19T14:52:00-0500","::912",912,3
DISPARO,S031,22,"2026-09-19T14:52:02-0500","::912",912,3
DISPARO,S031,23,"2026-09-19T14:52:03-0500","::905",905,3
DISPARO,S031,24,"2026-09-19T14:52:05-0500","::906",906,3
DISPARO,S031,25,"2026-09-19T14:52:06-0500","::898",898,3
DISPARO,S031,26,"2026-09-19T14:52:08-0500","::911",911,3
DISPARO,S031,27,"2026-09-19T14:52:10-0500","::917",917,3
DISPARO,S031,28,"2026-09-19T14:52:38-0500","::901",901,4
DISPARO,S031,29,"2026-09-19T14:52:40-0500","::895",895,4
DISPARO,S031,30,"2026-09-19T14:52:42-0500","::912",912,4
DISPARO,S031,31,"2026-09-19T14:52:43-0500","::904",904,4
DISPARO,S031,32,"2026-09-19T14:52:45-0500","::909",909,4
DISPARO,S031,33,"2026-09-19T14:52:46-0500","::898",898,4
DISPARO,S031,34,"2026-09-19T14:52:48-0500","::908",908,4
DISPARO,S031,35,"2026-09-19T14:52:50-0500","::899",899,4
DISPARO,S031,36,"2026-09-19T14:52:51-0500","::906",906,4
DISPARO,S031,37,"2026-09-19T14:52:58-0500","::896",896,5
DISPARO,S031,38,"2026-09-19T14:53:00-0500","::900",900,5
DISPARO,S031,39,"2026-09-19T14:53:01-0500","::897",897,5
DISPARO,S031,40,"2026-09-19T14:53:03-0500","::910",910,5
DISPARO,S031,41,"2026-09-19T14:53:04-0500","::906",906,5
DISPARO,S031,42,"2026-09-19T14:53:06-0500","::893",893,5
DISPARO,S031,43,"2026-09-19T14:53:08-0500","::901",901,5
DISPARO,S031,44,"2026-09-19T14:53:09-0500","::908",908,5
DISPARO,S031,45,"2026-09-19T14:53:11-0500","::894",894,5
VEREDICTO,S031,DUDOSO,1,"Es papel de mala calidad, ok"
SERIE,S032,"2026-09-19T14:54:01-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P5,0,e
DISPARO,S032,1,"2026-09-19T14:54:04-0500","::2380",2380,1
DISPARO,S032,2,"2026-09-19T14:54:06-0500","::2395",2395,1
DISPARO,S032,3,"2026-09-19T14:54:07-0500","::2403",2403,1
DISPARO,S032,4,"2026-09-19T14:54:09-0500","::2397",2397,1
DISPARO,S032,5,"2026-09-19T14:54:10-0500","::2397",2397,1
DISPARO,S032,6,"2026-09-19T14:54:12-0500","::2411",2411,1
DISPARO,S032,7,"2026-09-19T14:54:14-0500","::2406",2406,1
DISPARO,S032,8,"2026-09-19T14:54:15-0500","::2402",2402,1
DISPARO,S032,9,"2026-09-19T14:54:17-0500","::2401",2401,1
DISPARO,S032,10,"2026-09-19T14:54:22-0500","::2395",2395,2
DISPARO,S032,11,"2026-09-19T14:54:24-0500","::2407",2407,2
DISPARO,S032,12,"2026-09-19T14:54:25-0500","::2398",2398,2
DISPARO,S032,13,"2026-09-19T14:54:27-0500","::2391",2391,2
DISPARO,S032,14,"2026-09-19T14:54:29-0500","::2403",2403,2
DISPARO,S032,15,"2026-09-19T14:54:30-0500","::2400",2400,2
DISPARO,S032,16,"2026-09-19T14:54:32-0500","::2395",2395,2
DISPARO,S032,17,"2026-09-19T14:54:33-0500","::2407",2407,2
DISPARO,S032,18,"2026-09-19T14:54:35-0500","::2397",2397,2
DISPARO,S032,19,"2026-09-19T14:54:42-0500","::2398",2398,3
DISPARO,S032,20,"2026-09-19T14:54:43-0500","::2394",2394,3
DISPARO,S032,21,"2026-09-19T14:54:45-0500","::2402",2402,3
DISPARO,S032,22,"2026-09-19T14:54:47-0500","::2397",2397,3
DISPARO,S032,23,"2026-09-19T14:54:48-0500","::2397",2397,3
DISPARO,S032,24,"2026-09-19T14:54:50-0500","::2403",2403,3
DISPARO,S032,25,"2026-09-19T14:54:51-0500","::2403",2403,3
DISPARO,S032,26,"2026-09-19T14:54:53-0500","::2399",2399,3
DISPARO,S032,27,"2026-09-19T14:54:55-0500","::2403",2403,3
DISPARO,S032,28,"2026-09-19T14:55:02-0500","::2393",2393,4
DISPARO,S032,29,"2026-09-19T14:55:03-0500","::2390",2390,4
DISPARO,S032,30,"2026-09-19T14:55:05-0500","::2393",2393,4
DISPARO,S032,31,"2026-09-19T14:55:07-0500","::2396",2396,4
DISPARO,S032,32,"2026-09-19T14:55:08-0500","::2391",2391,4
DISPARO,S032,33,"2026-09-19T14:55:10-0500","::2396",2396,4
DISPARO,S032,34,"2026-09-19T14:55:11-0500","::2391",2391,4
DISPARO,S032,35,"2026-09-19T14:55:13-0500","::2389",2389,4
DISPARO,S032,36,"2026-09-19T14:55:15-0500","::2391",2391,4
DISPARO,S032,37,"2026-09-19T14:55:21-0500","::2404",2404,5
DISPARO,S032,38,"2026-09-19T14:55:23-0500","::2395",2395,5
DISPARO,S032,39,"2026-09-19T14:55:24-0500","::2400",2400,5
DISPARO,S032,40,"2026-09-19T14:55:26-0500","::2410",2410,5
DISPARO,S032,41,"2026-09-19T14:55:27-0500","::2413",2413,5
DISPARO,S032,42,"2026-09-19T14:55:29-0500","::2403",2403,5
DISPARO,S032,43,"2026-09-19T14:55:31-0500","::2396",2396,5
DISPARO,S032,44,"2026-09-19T14:55:32-0500","::2405",2405,5
DISPARO,S032,45,"2026-09-19T14:55:34-0500","::2407",2407,5
VEREDICTO,S032,OK,1,
SERIE,S033,"2026-09-19T14:55:57-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P5,90,e
DISPARO,S033,1,"2026-09-19T14:56:00-0500","::2399",2399,1
DISPARO,S033,2,"2026-09-19T14:56:01-0500","::2403",2403,1
DISPARO,S033,3,"2026-09-19T14:56:03-0500","::2408",2408,1
DISPARO,S033,4,"2026-09-19T14:56:05-0500","::2413",2413,1
DISPARO,S033,5,"2026-09-19T14:56:06-0500","::2410",2410,1
DISPARO,S033,6,"2026-09-19T14:56:08-0500","::2422",2422,1
DISPARO,S033,7,"2026-09-19T14:56:10-0500","::2403",2403,1
DISPARO,S033,8,"2026-09-19T14:56:11-0500","::2425",2425,1
DISPARO,S033,9,"2026-09-19T14:56:13-0500","::2408",2408,1
DISPARO,S033,10,"2026-09-19T14:56:19-0500","::2419",2419,2
DISPARO,S033,11,"2026-09-19T14:56:21-0500","::2411",2411,2
DISPARO,S033,12,"2026-09-19T14:56:23-0500","::2421",2421,2
DISPARO,S033,13,"2026-09-19T14:56:24-0500","::2417",2417,2
DISPARO,S033,14,"2026-09-19T14:56:26-0500","::2412",2412,2
DISPARO,S033,15,"2026-09-19T14:56:27-0500","::2419",2419,2
DISPARO,S033,16,"2026-09-19T14:56:29-0500","::2412",2412,2
DISPARO,S033,17,"2026-09-19T14:56:31-0500","::2417",2417,2
DISPARO,S033,18,"2026-09-19T14:56:32-0500","::2412",2412,2
DISPARO,S033,19,"2026-09-19T14:56:40-0500","::2408",2408,3
DISPARO,S033,20,"2026-09-19T14:56:42-0500","::2416",2416,3
DISPARO,S033,21,"2026-09-19T14:56:43-0500","::2408",2408,3
DISPARO,S033,22,"2026-09-19T14:56:45-0500","::2408",2408,3
DISPARO,S033,23,"2026-09-19T14:56:46-0500","::2407",2407,3
DISPARO,S033,24,"2026-09-19T14:56:48-0500","::2407",2407,3
DISPARO,S033,25,"2026-09-19T14:56:50-0500","::2407",2407,3
DISPARO,S033,26,"2026-09-19T14:56:51-0500","::2412",2412,3
DISPARO,S033,27,"2026-09-19T14:56:53-0500","::2409",2409,3
DISPARO,S033,28,"2026-09-19T14:57:01-0500","::2396",2396,4
DISPARO,S033,29,"2026-09-19T14:57:02-0500","::2400",2400,4
DISPARO,S033,30,"2026-09-19T14:57:04-0500","::2389",2389,4
DISPARO,S033,31,"2026-09-19T14:57:05-0500","::2402",2402,4
DISPARO,S033,32,"2026-09-19T14:57:07-0500","::2392",2392,4
DISPARO,S033,33,"2026-09-19T14:57:09-0500","::2403",2403,4
DISPARO,S033,34,"2026-09-19T14:57:10-0500","::2408",2408,4
DISPARO,S033,35,"2026-09-19T14:57:12-0500","::2409",2409,4
DISPARO,S033,36,"2026-09-19T14:57:13-0500","::2403",2403,4
DISPARO,S033,37,"2026-09-19T14:57:19-0500","::2397",2397,5
DISPARO,S033,38,"2026-09-19T14:57:20-0500","::2400",2400,5
DISPARO,S033,39,"2026-09-19T14:57:22-0500","::2402",2402,5
DISPARO,S033,40,"2026-09-19T14:57:24-0500","::2404",2404,5
DISPARO,S033,41,"2026-09-19T14:57:25-0500","::2408",2408,5
DISPARO,S033,42,"2026-09-19T14:57:27-0500","::2398",2398,5
DISPARO,S033,43,"2026-09-19T14:57:28-0500","::2402",2402,5
DISPARO,S033,44,"2026-09-19T14:57:30-0500","::2407",2407,5
DISPARO,S033,45,"2026-09-19T14:57:32-0500","::2396",2396,5
VEREDICTO,S033,OK,1,
SERIE,S034,"2026-09-19T14:58:18-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P1,0,e
DISPARO,S034,1,"2026-09-19T14:58:20-0500","::2957",2957,1
DISPARO,S034,2,"2026-09-19T14:58:22-0500","::2980",2980,1
DISPARO,S034,3,"2026-09-19T14:58:24-0500","::2967",2967,1
DISPARO,S034,4,"2026-09-19T14:58:25-0500","::2980",2980,1
DISPARO,S034,5,"2026-09-19T14:58:27-0500","::2977",2977,1
DISPARO,S034,6,"2026-09-19T14:58:28-0500","::2968",2968,1
DISPARO,S034,7,"2026-09-19T14:58:30-0500","::2979",2979,1
DISPARO,S034,8,"2026-09-19T14:58:32-0500","::2973",2973,1
DISPARO,S034,9,"2026-09-19T14:58:33-0500","::2976",2976,1
DISPARO,S034,10,"2026-09-19T14:58:42-0500","::2955",2955,2
DISPARO,S034,11,"2026-09-19T14:58:44-0500","::2963",2963,2
DISPARO,S034,12,"2026-09-19T14:58:46-0500","::2961",2961,2
DISPARO,S034,13,"2026-09-19T14:58:47-0500","::2964",2964,2
DISPARO,S034,14,"2026-09-19T14:58:49-0500","::2966",2966,2
DISPARO,S034,15,"2026-09-19T14:58:50-0500","::2963",2963,2
DISPARO,S034,16,"2026-09-19T14:58:52-0500","::2975",2975,2
DISPARO,S034,17,"2026-09-19T14:58:54-0500","::2963",2963,2
DISPARO,S034,18,"2026-09-19T14:58:55-0500","::2972",2972,2
DISPARO,S034,19,"2026-09-19T14:59:01-0500","::2938",2938,3
DISPARO,S034,20,"2026-09-19T14:59:03-0500","::2952",2952,3
DISPARO,S034,21,"2026-09-19T14:59:04-0500","::2957",2957,3
DISPARO,S034,22,"2026-09-19T14:59:06-0500","::2963",2963,3
DISPARO,S034,23,"2026-09-19T14:59:08-0500","::2954",2954,3
DISPARO,S034,24,"2026-09-19T14:59:09-0500","::2956",2956,3
DISPARO,S034,25,"2026-09-19T14:59:11-0500","::2954",2954,3
DISPARO,S034,26,"2026-09-19T14:59:12-0500","::2961",2961,3
DISPARO,S034,27,"2026-09-19T14:59:14-0500","::2971",2971,3
DISPARO,S034,28,"2026-09-19T14:59:18-0500","::2959",2959,4
DISPARO,S034,29,"2026-09-19T14:59:20-0500","::2955",2955,4
DISPARO,S034,30,"2026-09-19T14:59:21-0500","::2966",2966,4
DISPARO,S034,31,"2026-09-19T14:59:23-0500","::2955",2955,4
DISPARO,S034,32,"2026-09-19T14:59:25-0500","::2946",2946,4
DISPARO,S034,33,"2026-09-19T14:59:26-0500","::2963",2963,4
DISPARO,S034,34,"2026-09-19T14:59:28-0500","::2965",2965,4
DISPARO,S034,35,"2026-09-19T14:59:29-0500","::2964",2964,4
DISPARO,S034,36,"2026-09-19T14:59:31-0500","::2958",2958,4
DISPARO,S034,37,"2026-09-19T14:59:37-0500","::2962",2962,5
DISPARO,S034,38,"2026-09-19T14:59:38-0500","::2956",2956,5
DISPARO,S034,39,"2026-09-19T14:59:40-0500","::2956",2956,5
DISPARO,S034,40,"2026-09-19T14:59:41-0500","::2968",2968,5
DISPARO,S034,41,"2026-09-19T14:59:43-0500","::2956",2956,5
DISPARO,S034,42,"2026-09-19T14:59:45-0500","::2958",2958,5
DISPARO,S034,43,"2026-09-19T14:59:46-0500","::2948",2948,5
DISPARO,S034,44,"2026-09-19T14:59:48-0500","::2953",2953,5
DISPARO,S034,45,"2026-09-19T14:59:49-0500","::2954",2954,5
VEREDICTO,S034,OK,1,
SERIE,S035,"2026-09-19T15:00:52-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P2,0,e
DISPARO,S035,1,"2026-09-19T15:00:55-0500","::2052",2052,1
DISPARO,S035,2,"2026-09-19T15:00:57-0500","::2059",2059,1
DISPARO,S035,3,"2026-09-19T15:00:58-0500","::2050",2050,1
DISPARO,S035,4,"2026-09-19T15:01:00-0500","::2057",2057,1
DISPARO,S035,5,"2026-09-19T15:01:02-0500","::2055",2055,1
DISPARO,S035,6,"2026-09-19T15:01:04-0500","::2063",2063,1
DISPARO,S035,7,"2026-09-19T15:01:05-0500","::2052",2052,1
DISPARO,S035,8,"2026-09-19T15:01:07-0500","::2052",2052,1
DISPARO,S035,9,"2026-09-19T15:01:08-0500","::2063",2063,1
DISPARO,S035,10,"2026-09-19T15:01:13-0500","::2054",2054,2
DISPARO,S035,11,"2026-09-19T15:01:15-0500","::2066",2066,2
DISPARO,S035,12,"2026-09-19T15:01:16-0500","::2062",2062,2
DISPARO,S035,13,"2026-09-19T15:01:18-0500","::2060",2060,2
DISPARO,S035,14,"2026-09-19T15:01:20-0500","::2061",2061,2
DISPARO,S035,15,"2026-09-19T15:01:21-0500","::2059",2059,2
DISPARO,S035,16,"2026-09-19T15:01:23-0500","::2065",2065,2
DISPARO,S035,17,"2026-09-19T15:01:24-0500","::2057",2057,2
DISPARO,S035,18,"2026-09-19T15:01:26-0500","::2065",2065,2
DISPARO,S035,19,"2026-09-19T15:01:32-0500","::2056",2056,3
DISPARO,S035,20,"2026-09-19T15:01:34-0500","::2051",2051,3
DISPARO,S035,21,"2026-09-19T15:01:35-0500","::2049",2049,3
DISPARO,S035,22,"2026-09-19T15:01:37-0500","::2060",2060,3
DISPARO,S035,23,"2026-09-19T15:01:39-0500","::2058",2058,3
DISPARO,S035,24,"2026-09-19T15:01:40-0500","::2058",2058,3
DISPARO,S035,25,"2026-09-19T15:01:42-0500","::2059",2059,3
DISPARO,S035,26,"2026-09-19T15:01:43-0500","::2053",2053,3
DISPARO,S035,27,"2026-09-19T15:01:45-0500","::2070",2070,3
DISPARO,S035,28,"2026-09-19T15:01:50-0500","::2048",2048,4
DISPARO,S035,29,"2026-09-19T15:01:52-0500","::2050",2050,4
DISPARO,S035,30,"2026-09-19T15:01:54-0500","::2051",2051,4
DISPARO,S035,31,"2026-09-19T15:01:55-0500","::2048",2048,4
DISPARO,S035,32,"2026-09-19T15:01:57-0500","::2060",2060,4
DISPARO,S035,33,"2026-09-19T15:01:59-0500","::2054",2054,4
DISPARO,S035,34,"2026-09-19T15:02:00-0500","::2057",2057,4
DISPARO,S035,35,"2026-09-19T15:02:02-0500","::2061",2061,4
DISPARO,S035,36,"2026-09-19T15:02:03-0500","::2056",2056,4
DISPARO,S035,37,"2026-09-19T15:02:09-0500","::2055",2055,5
DISPARO,S035,38,"2026-09-19T15:02:11-0500","::2057",2057,5
DISPARO,S035,39,"2026-09-19T15:02:12-0500","::2050",2050,5
DISPARO,S035,40,"2026-09-19T15:02:14-0500","::2051",2051,5
DISPARO,S035,41,"2026-09-19T15:02:16-0500","::2048",2048,5
DISPARO,S035,42,"2026-09-19T15:02:17-0500","::2044",2044,5
DISPARO,S035,43,"2026-09-19T15:02:19-0500","::2057",2057,5
DISPARO,S035,44,"2026-09-19T15:02:20-0500","::2062",2062,5
DISPARO,S035,45,"2026-09-19T15:02:22-0500","::2054",2054,5
VEREDICTO,S035,OK,1,
