serie_id,fecha_hora,serie,mac,firmware,patron,patron_original,valor_certificado,tipo_lamina,color,orientacion,codigo,disparo,respuesta_bruta,x,descartado,motivo_descarte,veredicto,nota,aceptada,elegida,colocacion
S002,"2026-09-19T14:15:01-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,4,"::1395",1395,0,,A5,banco paso 4 (A5-INICIO),0,0,1
S002,"2026-09-19T14:15:11-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,5,"::1408",1408,0,,A5,banco paso 4 (A5-INICIO),0,0,2
S002,"2026-09-19T14:15:13-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,6,"::1407",1407,0,,A5,banco paso 4 (A5-INICIO),0,0,2
S002,"2026-09-19T14:15:14-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,7,"::1406",1406,0,,A5,banco paso 4 (A5-INICIO),0,0,2
S002,"2026-09-19T14:15:16-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,8,"::1408",1408,0,,A5,banco paso 4 (A5-INICIO),0,0,2
S002,"2026-09-19T14:15:21-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,9,"::1399",1399,0,,A5,banco paso 4 (A5-INICIO),0,0,3
S002,"2026-09-19T14:15:23-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,10,"::1410",1410,0,,A5,banco paso 4 (A5-INICIO),0,0,3
S002,"2026-09-19T14:15:24-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,11,"::1397",1397,0,,A5,banco paso 4 (A5-INICIO),0,0,3
S002,"2026-09-19T14:15:26-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,12,"::1404",1404,0,,A5,banco paso 4 (A5-INICIO),0,0,3
S002,"2026-09-19T14:15:34-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P22,P22,334,IV,amarillo,0,e,13,"::1454",1454,0,,A5,banco paso 4 (A5-INICIO),0,0,4
